category_id,fighter_id,weighted_rating,deviation,active
1,6063,1587.7,82.42455,Active
1,1847,1587.4,124.8794,Inactive
1,9349,1586.5,60.0977,Active
1,9767,1585.2,58.67334,Active
1,6240,1585.1,79.48585,Active
1,1789,1584.7,83.80702,Active
1,3466,1584.4,58.12228,Active
1,1332,1584.3,109.0974,Active
1,3055,1584.1,80.75394,Active
1,5984,1584.1,73.59321,Active
1,10851,1582.6,116.6504,Active
1,3503,1582.5,99.98476,Inactive
1,1819,1581.8,76.96852,Active
1,489,1581.8,59.22686,Active
1,1849,1579.5,93.35349,Inactive
1,8181,1578.5,123.6682,Active
1,11158,1578.3,49.03155,Active
1,7259,1578.1,92.85332,Active
1,5576,1578,66.6288,Active
1,2009,1577.9,96.23521,Active
1,7051,1577.1,84.91107,Active
1,11168,1577.1,155.7542,Active
1,3477,1577.1,70.15583,Active
1,290,1576.7,106.5595,Inactive
1,1554,1576.5,62.68839,Active
1,8418,1575.6,80.98225,Active
1,849,1573.8,75.46368,Active
1,10090,1572.5,64.49294,Active
1,3528,1572.4,101.798,Inactive
1,2638,1572.2,85.4077,Active
1,6212,1571.5,69.98198,Active
1,948,1571.3,67.1129,Active
1,426,1571.1,93.69778,Inactive
1,2050,1570.6,139.853,Inactive
1,5715,1570.5,111.1925,Active
1,9247,1570.2,74.26552,Active
1,796,1569.8,63.70558,Active
1,3014,1569.6,102.8794,Inactive
1,11152,1569.5,64.62257,Active
1,2304,1569.5,99.0608,Inactive
1,2158,1569.5,75.65054,Active
1,693,1569.4,86.55059,Inactive
1,6629,1569.2,66.67934,Active
1,658,1568.5,77.95673,Active
1,160,1568.4,86.93063,Active
1,10371,1567.6,106.9527,Active
1,2157,1566.8,51.3506,Active
1,1489,1566.3,76.75014,Active
1,9402,1566,101.9221,Inactive
1,7275,1565.9,165.5343,Inactive
1,1103,1565.9,80.62054,Active
1,5510,1564.8,112.8011,Inactive
1,43,1564.4,97.87258,Active
1,2787,1564.2,131.0785,Active
1,25,1563.7,80.93211,Active
1,705,1563.5,68.91962,Active
1,9270,1563.1,60.69233,Active
1,8961,1562.6,88.1087,Active
1,2837,1562.5,95.91161,Active
1,3459,1562.1,105.1952,Active
1,6576,1561.7,95.71548,Active
1,1617,1561.4,52.69529,Active
1,8049,1561.4,83.92155,Active
1,662,1560.6,101.9588,Inactive
1,7966,1560.3,88.4695,Active
1,1487,1560.1,66.24275,Active
1,2759,1559.7,49.07392,Active
1,1028,1559.7,119.8906,Inactive
1,5116,1559.4,50.5033,Active
1,1136,1559.2,111.2833,Inactive
1,1230,1559,94.78765,Inactive
1,927,1558.5,92.10126,Active
1,1376,1558.3,92.26485,Inactive
1,4831,1557.8,62.52178,Active
1,7851,1557.8,55.63125,Active
1,2395,1557.4,61.04809,Active
1,1017,1557.2,152.7708,Inactive
1,2012,1557,54.37658,Active
1,1132,1557,103.6688,Inactive
1,3591,1556.5,92.45405,Active
1,5310,1556.3,65.50471,Active
1,4911,1556.2,78.46648,Active
1,749,1556,90.55983,Active
1,1209,1556,95.38795,Inactive
1,5019,1555.9,68.20632,Active
1,2827,1555,82.48377,Active
1,4833,1554.9,67.9958,Active
1,637,1553.9,111.2091,Inactive
1,12982,1553.6,95.20866,Active
1,9642,1553.4,86.26427,Active
1,44,1553,69.18005,Active
1,811,1552.9,69.87236,Active
1,11704,1552.1,130.2935,Active
1,5631,1552.1,67.05933,Active
1,8236,1551.9,67.05726,Active
1,1622,1551.6,87.80799,Active
1,5044,1551,72.8904,Active
1,978,1551,148.2393,Active
1,97,1550.3,91.78055,Inactive
1,10460,1550.2,84.20059,Active
1,6753,1549.9,48.92462,Active
1,5938,1549.9,102.3116,Inactive
1,2403,1549.5,124.4765,Inactive
1,5507,1549.2,98.00678,Inactive
1,1034,1548.8,80.5362,Active
1,2163,1547.8,61.21767,Active
1,8677,1547.6,107.1885,Active
1,10028,1547.4,95.79243,Active
1,288,1547.4,105.9879,Inactive
1,1914,1546.7,80.7195,Active
1,7792,1546,95.59115,Active
1,1906,1545.8,101.6414,Inactive
1,2748,1545.3,76.06058,Active
1,9598,1544.9,55.46486,Active
1,8907,1544.3,48.11966,Active
1,5211,1544.2,109.5359,Inactive
1,9995,1543.9,111.0694,Active
1,5323,1543.2,78.31207,Active
1,2044,1542.6,101.6185,Active
1,961,1541.9,86.80133,Inactive
1,9803,1541.8,58.15063,Active
1,12102,1541.3,93.47497,Active
1,1216,1541.3,87.89131,Active
1,10559,1541,87.9314,Active
1,2855,1540.7,85.73612,Active
1,6493,1540.6,62.46698,Active
1,9658,1540.5,80.30787,Active
1,8,1540.3,108.0874,Active
1,630,1539.6,105.7411,Inactive
1,7143,1539.5,143.3201,Inactive
1,4630,1539,175.1169,Inactive
1,2232,1537.9,97.48126,Inactive
1,3566,1536.9,92.96447,Inactive
1,3422,1536.5,81.4398,Active
1,10017,1536.2,84.83649,Active
1,6237,1535.2,71.85759,Active
1,7544,1535,141.5647,Inactive
1,1101,1534.6,88.77866,Active
1,10229,1534.1,131.7055,Active
1,1494,1534,97.04963,Inactive
1,1211,1534,76.68357,Active
1,11017,1533.7,73.70746,Active
1,4967,1533,95.94526,Inactive
1,9049,1532.9,79.14282,Active
1,3286,1532.7,97.6795,Active
1,2887,1532.6,88.56441,Inactive
1,13,1532.3,95.13813,Active
1,10942,1532.1,80.30804,Active
1,2746,1531.8,163.7936,Inactive
1,2782,1531.7,73.02103,Active
1,1182,1531.3,70.80571,Active
1,9167,1531.3,123.0938,Active
1,6848,1529.9,129.0379,Inactive
1,8821,1529.7,101.7713,Active
1,5771,1529.2,94.5856,Active
1,6793,1529.1,67.95909,Active
1,2194,1528.9,110.4143,Inactive
1,11027,1528.7,99.46994,Active
1,440,1528.6,88.89842,Inactive
1,1795,1528.5,80.48877,Active
1,4644,1526.7,81.0638,Active
1,11480,1526.6,101.0604,Active
1,285,1526.4,109.3888,Inactive
1,3384,1526.3,125.9375,Inactive
1,144,1526.2,99.18021,Inactive
1,12589,1526.1,119.3763,Active
1,6496,1526,101.9447,Inactive
1,2025,1525.2,81.3549,Active
1,790,1525.1,54.4334,Active
1,7637,1524.4,56.29904,Active
1,11243,1524.3,119.3698,Active
1,12200,1523.7,114.0635,Active
1,9200,1523.5,185.8166,Inactive
1,9433,1523.2,106.3538,Inactive
1,9294,1523,63.2311,Active
1,3148,1521.4,65.10693,Active
1,10255,1521.3,61.9219,Active
1,763,1521,107.1552,Inactive
1,5305,1520.8,79.93896,Active
1,12684,1520.1,132.2608,Active
1,9160,1519.7,145.2149,Active
1,10130,1519.4,54.4007,Active
1,12681,1519.1,125.8682,Active
1,2390,1518.5,113.5179,Inactive
1,9561,1518.4,89.9594,Active
1,12310,1518,165.9338,Active
1,5120,1517.9,93.31105,Active
1,499,1517.9,74.76421,Active
1,4773,1517.1,67.38779,Active
1,7825,1517,55.91306,Active
1,10667,1516.9,111.6793,Active
1,5955,1516.8,95.14208,Active
1,11159,1516.4,81.42826,Active
1,7113,1516.3,62.32054,Active
1,10737,1515.9,71.75734,Active
1,6388,1515.8,87.62008,Active
1,6426,1515.4,81.77995,Active
1,9971,1515.2,74.61008,Active
1,2716,1515,148.552,Inactive
1,8712,1514.6,165.0886,Inactive
1,9650,1514.6,63.81505,Active
1,1195,1514.4,111.6004,Inactive
1,7863,1514.3,119.843,Inactive
1,3224,1514.3,82.52895,Active
1,11620,1514.3,113.5562,Active
1,5529,1514.1,68.00223,Active
1,5209,1513.6,129.0377,Inactive
1,3630,1513.2,116.12,Active
1,6743,1513.1,73.96622,Active
1,9357,1513,115.6045,Active
1,663,1512.9,114.6997,Inactive
1,4746,1512.7,67.91077,Active
1,2627,1512.6,78.44989,Active
1,2418,1512.5,81.7337,Active
1,23,1512,130.0634,Inactive
1,9661,1511.7,89.37686,Active
1,6995,1510.7,93.27438,Active
1,8449,1510.3,154.5559,Inactive
1,2724,1510,72.88348,Active
1,10695,1510,92.7859,Active
1,3359,1510,112.8549,Inactive
1,11160,1509.1,115.6679,Active
1,148,1508.2,82.14225,Active
1,7831,1508,111.7666,Active
1,5528,1507.9,108.4005,Active
1,9477,1507.3,100.3598,Active
1,2744,1506.7,94.43164,Inactive
1,6586,1506.6,114.9238,Inactive
1,12240,1506.6,110.2233,Active
1,8092,1506.2,75.98467,Active
1,6373,1506,54.59956,Active
1,2825,1505.8,121.3657,Inactive
1,7639,1505.5,61.23439,Active
1,2310,1505.2,78.897,Active
1,969,1504.6,176.1872,Inactive
1,5049,1504.3,93.79115,Inactive
1,1698,1504.3,93.89076,Active
1,1464,1504.1,97.78343,Inactive
1,9348,1503.9,58.06339,Active
1,207,1503.7,114.9337,Inactive
1,7818,1503.5,75.40832,Active
1,8704,1503,64.04916,Active
1,9565,1502.6,161.4325,Inactive
1,2849,1502.4,128.3564,Inactive
1,10081,1502.3,79.78114,Active
1,6175,1502.2,138.7104,Inactive
1,2737,1501.7,101.7312,Active
1,13124,1501.6,141.2164,Active
1,11213,1501,66.20158,Active
